PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Anfernee Simons,POR,46,11,35,34.4,8,3.2,8.3,37.8,1.7,4.9,34.8,47.9
Anthony Black,ORL,69,39,30,16.9,0.4,0.2,0.6,30,0.1,0.1,44.4,35
Anthony Edwards,MIN,79,54,25,35.1,8.3,3.4,9.4,36.2,1.5,4.5,33.4,44.3
Armoni Brooks,BKN,10,3,7,10.4,0.3,0.1,0.7,14.3,0.1,0.6,16.7,21.4
Ashton Hagans,POR,19,3,16,16.6,0.1,0.1,0.2,25,0,0.1,0,25
Ausar Thompson,DET,63,10,53,25.1,0.5,0.2,0.8,28.6,0,0.2,18.2,30.6
Austin Reaves,LAL,82,47,35,32.1,4.4,1.8,4.3,42.1,0.7,2,37.3,50.6
Ayo Dosunmu,CHI,76,37,39,29.1,1.6,0.7,1.5,44.8,0.2,0.6,38.1,51.7
Ben Sheppard,IND,57,32,25,14.3,0.3,0.1,0.3,43.8,0.1,0.2,27.3,53.1
Ben Simmons,BKN,15,7,8,23.9,0.1,0.1,0.2,33.3,-,-,-,33.3
Bennedict Mathurin,IND,59,33,26,26.1,3.5,1.4,3.5,39.4,0.7,2,36.4,49.8
Bilal Coulibaly,WAS,63,11,52,27.2,0.6,0.2,0.7,31.1,0.1,0.3,43.8,38.9
Blake Wesley,SAS,61,19,42,14.4,0.3,0.1,0.5,27.6,0,0.1,0,27.6
Bogdan Bogdanović,ATL,79,35,44,30.4,3.7,1.5,3.5,42.8,0.7,1.8,36.6,52.2
Bones Hyland,LAC,37,20,17,14.6,2.3,0.9,2.8,31.1,0.6,1.9,30.4,41.3
Bradley Beal,PHX,53,33,20,33.3,4.1,1.8,4.3,42.5,0.4,1.1,39,47.6
Brandin Podziemski,GSW,74,41,33,26.6,1.8,0.7,1.7,39.8,0.4,0.9,45.5,51.6
Brandon Boston,LAC,32,17,15,10.8,1.9,0.9,2.3,37.8,0.2,0.8,23.1,41.9
Brandon Williams,DAL,17,10,7,6.6,0.9,0.4,1.1,38.9,0.1,0.4,28.6,44.4
Bruce Brown,TOR,67,26,41,27.8,1.4,0.7,1.8,36.9,0.1,0.3,26.1,39.3
Bryce McGowens,CHA,59,11,48,14.9,0.5,0.2,0.5,38.7,0.1,0.2,36.4,45.2
Buddy Hield,PHI,84,46,38,25.7,2.3,0.8,2.6,32.7,0.6,1.9,30.2,43.8
CJ McCollum,NOP,66,42,24,32.7,7.9,3.2,6.9,45.9,1.5,3.6,43.2,57
Cade Cunningham,DET,62,9,53,33.5,6.9,3.1,7.1,43.6,0.6,2,32.5,48.1
Caleb Houstan,ORL,59,31,28,13.8,0.2,0.1,0.2,44.4,0,0.1,20,50
Cam Reddish,LAL,48,27,21,20.5,0.2,0.1,0.4,23.5,0.1,0.1,50,32.4
Cam Thomas,BKN,66,23,43,31.4,7.6,3.3,8.6,38.9,1,3.2,30.6,44.5
Cameron Payne,PHI,78,46,32,16.7,2.4,0.9,2.1,45.3,0.5,1.3,42.9,58.4
Caris LeVert,CLE,68,38,30,28.8,3,1.2,3.8,32.3,0.6,2,27.5,39.7
Cason Wallace,OKC,82,57,25,20.6,0.8,0.4,0.9,39,0.1,0.3,25.9,43.5
Charlie Brown Jr.,NYK,8,2,6,4.7,0,0,0,-,0,0,-,-
Chris Duarte,SAC,59,35,24,12.2,0.8,0.3,0.9,34,0.2,0.5,38.7,45.3
Chris Paul,GSW,58,33,25,26.4,4.7,2.1,5.1,41.8,0.5,1.6,30.9,46.8
Christian Braun,DEN,82,57,25,20.2,0.7,0.3,0.8,34.3,0.2,0.5,36.8,44.8
Coby White,CHI,79,37,42,36.5,4,1.6,4.1,40.5,0.7,1.8,40.4,49.7
Colby Jones,SAC,30,15,15,6.4,0.5,0.2,0.5,50,0,0.1,0,50
Cole Anthony,ORL,81,47,34,22.4,2.4,1.1,2.9,38.6,0.1,0.6,24.5,41.1
Collin Gillespie,DEN,24,15,9,9.4,1.1,0.5,1,44,0.2,0.5,41.7,54
Collin Sexton,UTA,78,29,49,26.6,3.2,1.3,3.4,38.1,0.6,1.8,32.6,46.6
Cory Joseph,GSW,26,10,16,11.4,0.2,0.1,0.6,20,0,0.2,0,20
Craig Porter Jr.,CLE,51,30,21,12.7,1.9,0.8,1.8,45.7,0.2,0.5,37,51.1
D'Angelo Russell,LAL,76,46,30,32.7,5.4,2.2,5.5,39.3,1.1,2.8,39.1,49.4
D'Moi Hodge,LAL,7,1,6,5.9,0.3,0.1,0.3,50,0,0.1,0,50
D.J. Carton,TOR,4,2,2,8.9,0,0,0,-,0,0,-,-
DaQuan Jeffries,NYK,17,11,6,2.7,0.1,0.1,0.2,25,0,0.1,0,25
Daishen Nix,MIN,15,11,4,3.3,0.6,0.2,0.4,50,0.2,0.4,50,75
Damian Lillard,MIL,73,48,25,35.3,8.7,3.3,8.6,38.4,2.1,5.7,36.5,50.4
Danny Green,PHI,2,1,1,9.2,0,0,0.5,0,0,0,-,0
Danté Exum,DAL,55,36,19,19.8,0.6,0.3,0.6,43.8,0.1,0.1,37.5,48.4
Danuel House Jr.,PHI,34,21,13,15,0.4,0.1,0.6,25,0.1,0.4,21.4,32.5
Darius Garland,CLE,57,31,26,33.3,6.9,2.7,6.5,42.4,1.4,3.7,38.8,53.4
David Duke Jr.,SAS,4,3,1,12.8,1.3,0.5,1,50,0.3,0.3,100,62.5
Davion Mitchell,SAC,72,41,31,15.3,1,0.4,1.2,36.5,0.2,0.5,32.4,42.9
De'Aaron Fox,SAC,74,42,32,35.9,9.3,3.9,9.8,39.4,1.6,4.6,35.6,47.7
De'Andre Hunter,ATL,57,26,31,29.5,3.3,1.4,3.5,41.4,0.4,1.2,33.3,47
De'Anthony Melton,PHI,38,25,13,26.9,2.3,0.8,2.4,35.6,0.6,1.7,38.1,48.9
DeJon Jarreau,MEM,9,2,7,16.6,0.2,0.1,1.7,6.7,0,0.3,0,6.7
DeMar DeRozan,CHI,79,37,42,37.8,7.5,3.7,8.1,45.3,0.2,0.6,29.8,46.3
Dejounte Murray,ATL,78,34,44,35.7,8.1,3.5,8.1,43.6,1.1,3.3,32,50.2
Delon Wright,MIA,47,16,31,15.8,0.4,0.2,0.8,21.6,0.1,0.4,23.5,27
Dennis Schröder,BKN,80,30,50,31.1,3.2,1.5,3.7,39.9,0.3,0.9,33.8,44.2
Dennis Smith Jr.,BKN,56,19,37,18.9,0.8,0.3,1.2,27.5,0.1,0.4,24,31.9
